feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,label
-0.11841,-1.18748,-0.42394,-0.65608,1.38413,1.87433,-0.35527,3.25298,-0.7037,-1.12498,-1.04345,-0.41082,0.32971,-2.2761,-1.19221,-1.48234,1.0
-0.11529,-1.20377,-0.42394,2.49295,2.74796,-2.1837,2.88608,-1.02521,-0.7037,-0.67403,0.53,-0.41082,0.32971,-0.2031,0.6583,-1.48234,1.0
-0.11104,-0.14319,-0.30323,-0.30107,-0.22952,0.54951,-0.35527,0.11528,0.46335,-0.72234,0.13664,-0.19794,-3.30297,0.91114,1.70424,-0.27627,1.0
-0.11748,-1.23727,-0.42394,0.27111,-0.33472,0.61575,-0.35527,0.79739,-0.7037,0.08292,0.84469,-0.41082,0.32971,-0.78354,1.58355,1.53284,1.0
-0.11582,-0.75907,-0.42394,1.92062,1.49325,-0.30533,-0.35527,-0.88898,-0.7037,-0.71749,0.71511,-0.41082,0.32971,0.57732,-1.19221,0.02525,1.0
-0.11646,-1.16203,-0.42394,-0.13193,0.40925,-0.05488,-0.35527,-0.36579,2.73603,-0.53162,-0.42439,-0.41082,0.32971,-1.29737,-1.19221,1.53284,1.0
-0.11534,-1.45179,-0.42394,1.49712,0.37609,-0.21336,-0.35527,-0.60704,-0.7037,-0.05694,0.73172,-0.41082,0.32971,-0.49013,0.82653,0.52778,1.0
-0.11554,-1.02904,-0.42394,1.98024,1.74019,-0.03261,-0.35527,-0.39893,-0.7037,-0.75332,1.11671,-0.41082,0.21976,-0.06256,-1.19221,0.9298,1.0
-0.11721,0.91185,-0.42394,0.92885,1.13798,-0.98607,-0.35527,-1.74215,4.32357,-0.25777,0.72668,-0.41082,0.32971,1.61078,-0.57537,1.53284,1.0
-0.11716,-0.65122,-0.27832,0.42135,1.45614,-0.33856,-0.35527,-1.0443,-0.7037,-0.27945,-0.1852,-0.232,0.32971,0.77686,1.8359,-1.48234,1.0
-0.10884,-1.28566,1.68103,1.01659,1.06788,-0.15437,-0.35527,-0.69005,-0.00096,-0.51887,0.7404,1.53753,0.32971,0.84786,0.11403,-1.48234,1.0
-0.11746,-0.54926,-0.42394,1.11384,1.10559,0.10168,-0.35527,-0.44361,-0.7037,-1.12498,2.03503,-0.41082,0.32971,1.13083,-1.19221,1.53284,1.0
-0.11329,-1.07666,-0.42394,1.80644,1.91983,-0.63555,-0.35527,-1.18755,1.7471,-0.49083,-0.04136,-0.41082,0.32971,-0.44167,0.51595,0.52778,1.0
-0.11429,1.33964,-0.42394,-1.41559,-1.08293,1.15514,-0.35527,0.93208,-0.7037,-1.12498,1.22594,-0.41082,0.20306,-0.4104,3.03753,-1.48234,1.0
-0.11379,0.50525,-0.42394,-1.08404,-0.68333,1.19075,-0.35527,1.55108,1.23753,-0.79012,-0.95089,-0.41082,0.32971,-1.0323,2.50881,-1.48234,1.0
-0.11432,1.57097,-0.42394,-1.00877,-1.32984,1.60269,-0.35527,2.144,-0.7037,-1.12498,0.8931,-0.41082,0.32971,2.02936,1.58355,-1.48234,1.0
-0.10219,-0.50782,-0.42394,-1.05613,-1.1316,1.3952,-0.35527,1.76367,0.00411,-0.88078,1.5515,-0.41082,-9.20551,1.4553,3.74248,1.53284,1.0
-0.11505,-1.49058,-0.42394,1.85361,2.06263,-0.80699,-0.35527,-1.80568,-0.7037,-1.12498,-0.19224,-0.41082,0.32971,0.10955,-0.79567,1.53284,1.0
-0.10716,-0.53217,-0.40627,1.3435,1.06739,-0.86098,0.96266,-0.63224,-0.03224,-0.43002,0.63194,-0.41082,0.26118,0.24654,0.23126,0.1623,1.0
-0.11453,1.74366,-0.42394,0.50515,0.02492,0.58715,-0.35527,0.46844,-0.7037,-0.80889,1.88011,-0.41082,0.32971,1.47938,-0.26695,0.02525,1.0
-0.11705,1.5157,-0.42394,1.00667,0.15695,-0.05207,-0.35527,-0.31218,-0.7037,-0.3734,0.38156,-0.41082,0.32971,0.39924,-1.19221,1.53284,1.0
-0.11573,0.47057,-0.42394,0.24712,-0.05748,-0.84692,-0.35527,-1.8401,1.71685,0.5452,1.11442,-0.41082,0.32971,1.34869,0.04146,1.53284,1.0
-0.10339,-1.04777,-0.4173,1.64916,2.98785,-1.42975,0.68729,-1.69131,-0.2631,-0.51696,0.04514,-0.39474,0.28474,0.30547,-0.72174,0.52778,1.0
-0.11412,0.82487,-0.42394,0.56825,0.44658,0.18757,-0.35527,-0.19417,-0.7037,-0.57504,0.60392,-0.41082,0.00435,0.32837,0.39394,1.53284,1.0
-0.11765,0.82122,-0.42394,2.80794,2.72241,-0.68549,-0.35527,-1.18293,-0.7037,-1.12498,0.48747,-0.41082,0.32971,-0.66252,2.50881,-1.48234,1.0
-0.11582,-2.51165,-0.42394,0.74028,1.31819,-0.51627,-0.35527,-1.49849,-0.7037,-1.12498,1.02451,-0.41082,-0.52436,1.49084,0.33925,0.02525,1.0
-0.1145,0.20155,-0.3243,-0.82221,-0.58749,1.11729,-0.35527,1.36406,-0.7037,-0.75332,0.13664,-0.25362,0.32971,0.0919,2.50881,-1.48234,1.0
-0.11633,0.55536,-0.42394,0.17626,0.75583,0.23645,-0.35527,-0.08067,-0.7037,0.10488,-0.71219,-0.41082,0.32971,-0.18128,2.22411,1.53284,1.0
-0.11614,0.55536,-0.42394,0.71611,0.08899,0.52016,-0.35527,0.05937,-0.7037,-1.12498,0.39888,-0.41082,0.32971,0.0042,-0.26695,1.53284,1.0
-0.1103,-0.34013,-0.42394,1.03002,0.31462,-0.21171,-0.35527,-0.87993,0.09985,-0.98637,0.42655,-0.41082,0.32971,-0.00369,-0.82817,-0.14226,1.0
-0.11561,0.31154,-0.42394,-0.16954,-0.16394,0.76574,-0.35527,0.7618,-0.7037,-0.14465,-0.65008,-0.41082,0.32971,-1.55055,6.20983,-1.48234,1.0
-0.11725,-0.36732,-0.42394,0.59488,2.95221,-0.19862,-0.35527,-1.20346,-0.7037,-1.12498,0.30522,-0.41082,0.32971,-0.32156,1.58355,1.53284,1.0
-0.07104,-1.08388,-0.36253,0.78707,1.4801,-0.57123,0.59797,-0.40428,-0.24018,-0.45868,0.01359,-0.38827,0.2824,0.85734,-0.49981,0.32677,1.0
-0.09773,-0.50865,-0.42394,1.60719,1.51909,-0.68689,0.42894,-0.88124,-0.7037,-0.71036,0.44645,-0.41082,0.29466,0.33258,-0.21514,0.9298,1.0
-0.11047,0.73226,-0.42394,-0.4017,-0.19884,0.14733,-0.35527,0.00974,2.07078,-0.00824,0.2943,-0.41082,0.28251,0.20143,-0.14475,1.53284,1.0
